combined_id,slab_number,batch_number,material_name,colour_family,size_mm,thickness_mm,finish,location,received_date,notes
06835/6403,6835,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06849/6403,6849,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06883/6403,6883,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06887/6403,6887,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06896/6403,6896,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06910/6403,6910,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
01482/6326,1482,6326,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
01487/6326,1487,6326,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
04180/9082,4180,9082,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
04191/6326,4191,6326,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
04204/9082,4204,9082,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06846/6403,6846,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06847/6403,6847,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06904/6403,6904,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06760/6400,6760,6400,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
06769/6400,6769,6400,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
06776/6400,6776,6400,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
6753/6400,6753,6400,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
6756/6400,6756,6400,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
6759/6400,6759,6400,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
6777/6400,6777,6400,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
6778/6400,6778,6400,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
6779/6400,6779,6400,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02321/6264,2321,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02337/6264,2337,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02318/6264,2318,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02325/6264,2325,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02328/6264,2328,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
03509/6308,3509,6308,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16275/6077,16275,6077,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16561/6099,16561,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16562/6099,16562,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
01571/6336,1571,6336,Black  Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
01577/6336,1577,6336,Black  Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
6443/5981,6443,5981,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
6444/5981,6444,5981,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
6445/5981,6445,5981,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
7863/6083,7863,6083,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
872/5644,872,5644,Black Mirror Jumbo,,3200x1600,30,,Bellagio Yard,,
971/5618,971,5618,Black Mirror Super Jumbo,,3450x1940,30,,Bellagio Yard,,
974/5618,974,5618,Black Mirror Super Jumbo,,3450x1940,30,,Bellagio Yard,,
28426,28426,,Calacatta Emerald,,3200x1600,20,,Bellagio Yard,,
28426,28426,,Calacatta Emerald,,3200x1600,20,,Bellagio Yard,,
28426,28426,,Calacatta Emerald,,3200x1600,20,,Bellagio Yard,,
28426,28426,,Calacatta Emerald,,3200x1600,20,,Bellagio Yard,,
250505,250505,,Calacatta Majestic,,3200x1600,30,,Bellagio Yard,,
