combined_id,slab_number,batch_number,material_name,colour_family,size_mm,thickness_mm,finish,location,received_date,notes
01137/6270,01137,6270,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
01149/6270,01149,6270,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
01151/6270,01151,6270,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
02360/6270,02360,6270,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
02367/6270,02367,6270,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
02369/6270,02369,6270,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
02370/6270,02370,6270,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
02372/6270,02372,6270,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
02316/6264,02316,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02317/6264,02317,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02321/6264,02321,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02322/6264,02322,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02337/6264,02337,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02339/6264,02339,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
01501/6233,01501,6233,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02277/6264,02277,6264,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02282/6264,02282,6264,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02285/6264,02285,6264,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02288/6264,02288,6264,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02335/6264,02335,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
03495/6308,03495,6308,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
03500/6308,03500,6308,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
03506/6308,03506,6308,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
03509/6308,03509,6308,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16275/6077,16275,6077,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16561/6099,16561,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16562/6099,16562,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
6443/5981,6443,5981,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
6444/5981,6444,5981,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
6445/5981,6445,5981,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
7855/6083,7855,6083,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
7860/6083,7860,6083,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
7863/6083,7863,6083,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
872/5644,872,5644,Black Mirror Jumbo,,3200x1600,30,,Bellagio Yard,,
971/5618,971,5618,Black Mirror Super Jumbo,,3450x1940,30,,Bellagio Yard,,
974/5618,974,5618,Black Mirror Super Jumbo,,3450x1940,30,,Bellagio Yard,,
240820,240820,,Calacatta Majestic,,3200x1600,20,,Bellagio Yard,,
240820,240820,,Calacatta Majestic,,3200x1600,30,,Bellagio Yard,,
240820,240820,,Calacatta Majestic,,3200x1600,30,,Bellagio Yard,,
17502/A1694,17502,A1694,Calacatta Nova,,3200x1600,30,,Bellagio Yard,,
17503/A1694,17503,A1694,Calacatta Nova,,3200x1600,30,,Bellagio Yard,,
17506/A1694,17506,A1694,Calacatta Nova,,3200x1600,30,,Bellagio Yard,,
17507/A1694,17507,A1694,Calacatta Nova,,3200x1600,30,,Bellagio Yard,,
17509/A1694,17509,A1694,Calacatta Nova,,3200x1600,30,,Bellagio Yard,,
17522/A1694,17522,A1694,Calacatta Nova,,3200x1600,30,,Bellagio Yard,,
04538/A1962,04538,A1962,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
04541/A1962,04541,A1962,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
04550/A1962,04550,A1962,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
04551/A1962,04551,A1962,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
04553/A1962,04553,A1962,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
13071/1608,13071,1608,Calacatta Nova Super Jumbo,,3450x1940,30,,Bellagio Yard,,
13074/1608,13074,1608,Calacatta Nova Super Jumbo,,3450x1940,30,,Bellagio Yard,,
19245/1727,19245,1727,Calacatta Nova Super Jumbo,,3450x1940,30,,Bellagio Yard,,
19281/1727,19281,1727,Calacatta Nova Super Jumbo,,3450x1940,30,,Bellagio Yard,,
20231229,20231229,,Calacatta Oro,,3200x1600,20,,Bellagio Yard,,
20250302,20250302,,Calacatta Oro,,3200x1600,20,,Bellagio Yard,,
20250302,20250302,,Calacatta Oro,,3200x1600,20,,Bellagio Yard,,
20250302,20250302,,Calacatta Oro,,3200x1600,20,,Bellagio Yard,,
20250302,20250302,,Calacatta Oro,,3200x1600,20,,Bellagio Yard,,
20250302,20250302,,Calacatta Oro,,3200x1600,20,,Bellagio Yard,,
20250302,20250302,,Calacatta Oro,,3200x1600,20,,Bellagio Yard,,
20230313,20230313,,Calacatta Oro,,3200x1600,30,,Bellagio Yard,,
20240325,20240325,,Calacatta Oro,,3200x1600,30,,Bellagio Yard,,
01747/A1895,01747,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01797/A1895,01797,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01798/A1895,01798,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01799/A1895,01799,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01800/A1895,01800,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01801/A1895,01801,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01802/A1895,01802,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01803/A1895,01803,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01804/A1895,01804,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01808/A1895,01808,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01809/A1895,01809,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01814/A1895,01814,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01817/A1895,01817,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01819/A1895,01819,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
01821/A1895,01821,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
0806/A1895,0806,A1895,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
13927/5994,13927,5994,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
17389/6152,17389,6152,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
17405/6152,17405,6152,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
17407/6152,17407,6152,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
17409/6152,17409,6152,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
17412/6152,17412,6152,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
17416/6152,17416,6152,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
17420/6152,17420,6152,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
17421/6152,17421,6152,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
17434/6152,17434,6152,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
17435/6152,17435,6152,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
13043/5954,13043,5954,Calacatta Venato,,3200x1600,30,,Bellagio Yard,,
7913/5833,7913,5833,Calacatta Venato,,3150x1600,30,,Bellagio Yard,,
7931/5833,7931,5833,Calacatta Venato,,3200x1600,30,,Bellagio Yard,,
02472/A1919,02472,A1919,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
02477/A1919,02477,A1919,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
02479/A1919,02479,A1919,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
02480/A1919,02480,A1919,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
02481/A1919,02481,A1919,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
02522/A1919,02522,A1919,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
02526/A1919,02526,A1919,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
02528/A1919,02528,A1919,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
03545/A1942,03545,A1942,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
03583/A1942,03583,A1942,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
03592/A1942,03592,A1942,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
03602/A1942,03602,A1942,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
070/1334,070,1334,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
14744/A1615,14744,A1615,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
14754/A1615,14754,A1615,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
14755/A1615,14755,A1615,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
14762/A1615,14762,A1615,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
19300/1205,19300,1205,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
19315/1205,19315,1205,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
3791/1416,3791,1416,Calacatta Vienna Super Jumbo,,3450x1940,30,,Bellagio Yard,,
23133/1822,23133,1822,Calacatta Vienna Super Jumbo,,3450x1940,20,,Bellagio Yard,,
01698/6245,01698,6245,Carina Jumbo,,3200x1600,20,,Bellagio Yard,,
01746/6245,01746,6245,Carina Jumbo,,3200x1600,20,,Bellagio Yard,,
15296/6043,15296,6043,Carina Jumbo,,3200x1600,30,,Bellagio Yard,,
15353/6043,15353,6043,Carina Jumbo,,3200x1600,30,,Bellagio Yard,,
2955/5736,2955,5736,Carina Jumbo,,3150x1600,30,,Bellagio Yard,,
17080/6146,17080,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
17176/6146,17176,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
17191/6146,17191,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
17194/6146,17194,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
17165/6146,17165,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
17168/6146,17168,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
17173/6146,17173,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
17174/6146,17174,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
17177/6146,17177,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
17190/6146,17190,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
17197/6146,17197,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
17233/6146,17233,6146,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
2989/5747,2989,5747,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
3055/5747,3055,5747,Cashmere Jumbo,,3200x1600,20,,Bellagio Yard,,
11475/5432,11475,5432,Cashmere Jumbo,,3200x1600,30,,Bellagio Yard,,
04251/6327,04251,6327,Cashmere Super Jumbo,,3450x1940,30,,Bellagio Yard,,
04253/6327,04253,6327,Cashmere Super Jumbo,,3450x1940,30,,Bellagio Yard,,
04254/6327,04254,6327,Cashmere Super Jumbo,,3450x1940,30,,Bellagio Yard,,
04255/6327,04255,6327,Cashmere Super Jumbo,,3450x1940,30,,Bellagio Yard,,
17317/6149,17317,6149,Cashmere Super Jumbo,,3450x1940,20,,Bellagio Yard,,
15985/6061,15985,6061,Cashmere Super Jumbo,,3450x1940,30,,Bellagio Yard,,
15987/6061,15987,6061,Cashmere Super Jumbo,,3450x1940,30,,Bellagio Yard,,
15991/6061,15991,6061,Cashmere Super Jumbo,,3450x1940,30,,Bellagio Yard,,
15998/6061,15998,6061,Cashmere Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16013/6061,16013,6061,Cashmere Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16996/6135,16996,6135,Cashmere Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16997/6135,16997,6135,Cashmere Super Jumbo,,3450x1940,30,,Bellagio Yard,,
